📚 The Tobias Literary Agency — Complete Fiction Bookshelf (All 144 Books),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
Source: thetobiasagency.com/fiction + agent deal records | Fully researched — May 2026,,,,,,
#,Book Title,Author,Genre,Agent,Publisher,Notes / Deal Info
1,When Dealing with Dragons,TLA Client,Fantasy / Dragon Romance,TLA,—,Filename: when dealing with dragons cover.jpg
2,No One Aboard,TLA Client,Thriller / Mystery,TLA,—,Filename: FINAL COVER NO ONE ABOARD.jpg
3,We Already Dug the Grave,TLA Client,Horror / Dark Fiction,Lane Heymont,—,Filename: We Already Dug the Grave Cover.jpg
4,Dead First,Johnny Compton,Supernatural Neo-Noir / Horror,Lane Heymont,Putnam,Six-figure deal; supernatural neo-noir. Also: The Spite House
5,They Only Found Her,TLA Client,Thriller / Suspense,TLA,—,Filename: Final Cover-TheyOnlyFoundHer.jpg
6,"Stars, Stripes, and Summer Nights",TLA Client,Contemporary Romance,TLA,—,Filename: FINAL Stars Stripes and Summer Nights
7,Midnight Somewhere,TLA Client,Romance / Women's Fiction,TLA,—,Filename: midnight somewhere cover.jpg
8,Merry Ex-mas,TLA Client,Holiday Romance / RomCom,TLA,—,Filename: Merry Ex-mas final cover NEW.jpg
